time,pid,algorithm,queue
0,1,rr,0
1,1,rr,0
2,1,rr,0
3,1,rr,0
4,18,rr,0
5,18,rr,0
6,18,rr,0
7,18,rr,0
8,2,rr,0
9,2,rr,0
10,2,rr,0
11,2,rr,0
12,26,rr,0
13,26,rr,0
14,26,rr,0
15,26,rr,0
16,4,rr,0
17,4,rr,0
18,4,rr,0
19,4,rr,0
20,1,rr,0
21,1,rr,0
22,1,rr,0
23,1,rr,0
24,11,rr,0
25,11,rr,0
26,11,rr,0
27,11,rr,0
28,7,rr,0
29,7,rr,0
30,7,rr,0
31,7,rr,0
32,20,rr,0
33,20,rr,0
34,20,rr,0
35,20,rr,0
36,21,rr,0
37,21,rr,0
38,21,rr,0
39,21,rr,0
40,14,rr,0
41,14,rr,0
42,14,rr,0
43,14,rr,0
44,19,rr,0
45,19,rr,0
46,19,rr,0
47,19,rr,0
48,29,rr,0
49,29,rr,0
50,29,rr,0
51,29,rr,0
52,9,rr,0
53,9,rr,0
54,9,rr,0
55,9,rr,0
56,18,rr,0
57,18,rr,0
58,18,rr,0
59,18,rr,0
60,5,rr,0
61,5,rr,0
62,5,rr,0
63,5,rr,0
64,22,rr,0
65,22,rr,0
66,22,rr,0
67,22,rr,0
68,17,rr,0
69,17,rr,0
70,17,rr,0
71,17,rr,0
72,23,rr,0
73,23,rr,0
74,23,rr,0
75,23,rr,0
76,25,rr,0
77,25,rr,0
78,25,rr,0
79,25,rr,0
80,27,rr,0
81,27,rr,0
82,27,rr,0
83,27,rr,0
84,2,rr,0
85,2,rr,0
86,2,rr,0
87,2,rr,0
88,15,rr,0
89,15,rr,0
90,15,rr,0
91,15,rr,0
92,30,rr,0
93,30,rr,0
94,30,rr,0
95,30,rr,0
96,8,rr,0
97,8,rr,0
98,8,rr,0
99,8,rr,0
100,10,rr,0
101,10,rr,0
102,10,rr,0
103,10,rr,0
104,26,rr,0
105,26,rr,0
106,26,rr,0
107,26,rr,0
108,13,rr,0
109,13,rr,0
110,13,rr,0
111,13,rr,0
112,28,rr,0
113,28,rr,0
114,28,rr,0
115,28,rr,0
116,16,rr,0
117,16,rr,0
118,16,rr,0
119,16,rr,0
120,24,rr,0
121,24,rr,0
122,24,rr,0
123,24,rr,0
124,4,rr,0
125,4,rr,0
126,4,rr,0
127,4,rr,0
128,3,rr,0
129,3,rr,0
130,3,rr,0
131,3,rr,0
132,6,rr,0
133,6,rr,0
134,6,rr,0
135,6,rr,0
136,12,rr,0
137,12,rr,0
138,12,rr,0
139,12,rr,0
140,1,rr,0
141,1,rr,0
142,1,rr,0
143,1,rr,0
144,11,rr,0
145,11,rr,0
146,11,rr,0
147,11,rr,0
148,7,rr,0
149,7,rr,0
150,7,rr,0
151,7,rr,0
152,20,rr,0
153,20,rr,0
154,20,rr,0
155,20,rr,0
156,21,rr,0
157,21,rr,0
158,21,rr,0
159,21,rr,0
160,14,rr,0
161,14,rr,0
162,14,rr,0
163,14,rr,0
164,19,rr,0
165,19,rr,0
166,19,rr,0
167,19,rr,0
168,29,rr,0
169,29,rr,0
170,29,rr,0
171,29,rr,0
172,9,rr,0
173,9,rr,0
174,9,rr,0
175,9,rr,0
176,18,rr,0
177,18,rr,0
178,18,rr,0
179,18,rr,0
180,5,rr,0
181,5,rr,0
182,5,rr,0
183,5,rr,0
184,22,rr,0
185,22,rr,0
186,22,rr,0
187,22,rr,0
188,17,rr,0
189,17,rr,0
190,17,rr,0
191,17,rr,0
192,23,rr,0
193,23,rr,0
194,23,rr,0
195,23,rr,0
196,25,rr,0
197,25,rr,0
198,25,rr,0
199,25,rr,0
200,27,rr,0
201,27,rr,0
202,27,rr,0
203,27,rr,0
204,2,rr,0
205,2,rr,0
206,2,rr,0
207,2,rr,0
208,15,rr,0
209,15,rr,0
210,15,rr,0
211,15,rr,0
212,30,rr,0
213,30,rr,0
214,30,rr,0
215,30,rr,0
216,8,rr,0
217,8,rr,0
218,8,rr,0
219,8,rr,0
220,10,rr,0
221,10,rr,0
222,10,rr,0
223,10,rr,0
224,26,rr,0
225,26,rr,0
226,26,rr,0
227,26,rr,0
228,13,rr,0
229,13,rr,0
230,13,rr,0
231,13,rr,0
232,28,rr,0
233,28,rr,0
234,28,rr,0
235,28,rr,0
236,16,rr,0
237,16,rr,0
238,16,rr,0
239,16,rr,0
240,24,rr,0
241,24,rr,0
242,24,rr,0
243,24,rr,0
244,4,rr,0
245,4,rr,0
246,4,rr,0
247,4,rr,0
248,3,rr,0
249,3,rr,0
250,3,rr,0
251,3,rr,0
252,6,rr,0
253,6,rr,0
254,6,rr,0
255,6,rr,0
256,12,rr,0
257,12,rr,0
258,12,rr,0
259,12,rr,0
260,1,rr,0
261,1,rr,0
262,1,rr,0
263,1,rr,0
264,11,rr,0
265,11,rr,0
266,11,rr,0
267,11,rr,0
268,7,rr,0
269,7,rr,0
270,7,rr,0
271,7,rr,0
272,20,rr,0
273,20,rr,0
274,20,rr,0
275,20,rr,0
276,21,rr,0
277,21,rr,0
278,21,rr,0
279,21,rr,0
280,14,rr,0
281,14,rr,0
282,14,rr,0
283,14,rr,0
284,19,rr,0
285,19,rr,0
286,19,rr,0
287,19,rr,0
288,29,rr,0
289,29,rr,0
290,29,rr,0
291,29,rr,0
292,9,rr,0
293,9,rr,0
294,9,rr,0
295,9,rr,0
296,18,rr,0
297,18,rr,0
298,18,rr,0
299,18,rr,0
300,5,rr,0
301,5,rr,0
302,5,rr,0
303,5,rr,0
304,22,rr,0
305,22,rr,0
306,22,rr,0
307,22,rr,0
308,17,rr,0
309,17,rr,0
310,17,rr,0
311,17,rr,0
312,23,rr,0
313,23,rr,0
314,23,rr,0
315,23,rr,0
316,25,rr,0
317,25,rr,0
318,25,rr,0
319,25,rr,0
320,27,rr,0
321,27,rr,0
322,27,rr,0
323,27,rr,0
324,2,rr,0
325,2,rr,0
326,2,rr,0
327,2,rr,0
328,15,rr,0
329,15,rr,0
330,15,rr,0
331,15,rr,0
332,30,rr,0
333,30,rr,0
334,30,rr,0
335,30,rr,0
336,8,rr,0
337,8,rr,0
338,8,rr,0
339,8,rr,0
340,10,rr,0
341,10,rr,0
342,10,rr,0
343,10,rr,0
344,26,rr,0
345,26,rr,0
346,26,rr,0
347,26,rr,0
348,13,rr,0
349,13,rr,0
350,13,rr,0
351,13,rr,0
352,28,rr,0
353,28,rr,0
354,28,rr,0
355,28,rr,0
356,16,rr,0
357,16,rr,0
358,16,rr,0
359,16,rr,0
360,24,rr,0
361,24,rr,0
362,24,rr,0
363,24,rr,0
364,4,rr,0
365,4,rr,0
366,4,rr,0
367,4,rr,0
368,3,rr,0
369,3,rr,0
370,3,rr,0
371,3,rr,0
372,6,rr,0
373,6,rr,0
374,6,rr,0
375,6,rr,0
376,12,rr,0
377,12,rr,0
378,12,rr,0
379,12,rr,0
380,1,rr,0
